;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;;;;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;;;;;;;
Pas-de-Calais;387 699;367 639;395 811;194 376;117 888;1 463 413;198 976;183 596;195 729;88 981;39 458;706 740;188 723;184 043;200 082;105 395;78 430;756 673;;;;;;;
Puy-de-Dôme;142 510;158 034;174 096;98 389;60 551;633 580;72 173;80 039;85 867;46 759;21 650;306 488;70 337;77 995;88 229;51 630;38 901;327 092;;;;;;;
Pyrénées-Atlantiques;143 975;149 554;184 926;106 000;74 494;658 949;73 982;75 104;90 558;49 474;27 542;316 660;69 993;74 450;94 368;56 526;46 952;342 289;;;;;;;
Hautes-Pyrénées;47 853;47 625;65 336;40 749;29 760;231 323;24 990;24 377;31 756;19 244;11 053;111 420;22 863;23 248;33 580;21 505;18 707;119 903;;;;;;;
Pyrénées-Orientales;101 393;97 699;119 881;79 667;54 088;452 728;52 454;47 504;57 361;37 034;20 956;215 309;48 939;50 195;62 520;42 633;33 132;237 419;;;;;;;
Bas-Rhin;264 442;293 411;310 273;146 902;84 489;1 099 517;134 727;144 807;154 588;71 131;30 688;535 941;129 715;148 604;155 685;75 771;53 801;563 576;;;;;;;
Haut-Rhin;182 203;185 155;217 193;105 095;62 608;752 254;93 193;92 342;108 432;51 653;22 730;368 350;89 010;92 813;108 761;53 442;39 878;383 904;;;;;;;
Rhône;450 726;501 731;429 249;220 499;138 415;1 740 620;227 874;246 520;207 878;104 033;50 691;836 996;222 852;255 211;221 371;116 466;87 724;903 624;;;;;;;
Haute-Saône;58 297;53 432;67 586;38 093;22 986;240 394;30 011;27 209;34 019;18 762;8 532;118 533;28 286;26 223;33 567;19 331;14 454;121 861;;;;;;;
Saône-et-Loire;124 394;117 311;154 457;95 085;65 262;556 509;64 465;59 815;76 458;45 699;24 464;270 901;59 929;57 496;77 999;49 386;40 798;285 608;;;;;;;
Sarthe;142 310;132 392;152 817;83 271;57 404;568 194;72 480;66 671;76 075;39 613;22 020;276 859;69 830;65 721;76 742;43 658;35 384;291 335;;;;;;;
Savoie;102 081;102 076;117 407;60 856;36 253;418 673;52 656;52 021;58 600;28 861;13 832;205 970;49 425;50 055;58 807;31 995;22 421;212 703;;;;;;;
Haute-Savoie;188 654;194 577;210 509;98 743;52 212;744 695;96 897;98 434;104 026;47 301;19 716;366 374;91 757;96 143;106 483;51 442;32 496;378 321;;;;;;;
Paris;450 558;787 263;563 284;287 386;167 748;2 256 239;225 515;379 321;270 981;129 625;58 783;1 064 225;225 043;407 942;292 303;157 761;108 965;1 192 014;;;;;;;
Seine-Maritime;316 671;318 352;335 972;174 123;109 978;1 255 096;161 824;158 094;163 652;80 505;38 989;603 064;154 847;160 258;172 320;93 618;70 989;652 032;;;;;;;
Seine-et-Marne;375 904;363 315;366 580;151 189;75 202;1 332 190;191 323;178 245;180 493;73 392;27 699;651 152;184 581;185 070;186 087;77 797;47 503;681 038;;;;;;;
Yvelines;385 774;367 766;388 267;179 178;95 569;1 416 554;196 858;182 534;188 699;86 328;35 814;690 233;188 916;185 232;199 568;92 850;59 755;726 321;;;;;;;
Deux-Sèvres;86 843;82 333;103 014;57 366;41 783;371 339;44 646;41 693;51 446;27 778;16 529;182 092;42 197;40 640;51 568;29 588;25 254;189 247;;;;;;;
Somme;143 882;146 402;152 064;80 832;49 050;572 230;73 513;73 173;75 193;38 182;17 920;277 981;70 369;73 229;76 871;42 650;31 130;294 249;;;;;;;
Tarn;84 882;79 531;104 399;62 670;46 947;378 429;43 682;39 809;51 037;29 872;18 524;182 924;41 200;39 722;53 362;32 798;28 423;195 505;;;;;;;
Tarn-et-Garonne;58 814;54 481;67 222;37 066;26 079;243 662;30 107;27 193;33 395;17 868;10 527;119 090;28 707;27 288;33 827;19 198;15 552;124 572;;;;;;;
Var;220 222;217 987;271 080;184 874;116 624;1 010 787;113 096;109 897;129 858;87 096;45 586;485 533;107 126;108 090;141 222;97 778;71 038;525 254;;;;;;;
Vaucluse;133 171;124 567;149 200;86 416;51 154;544 508;68 203;61 260;72 002;40 845;19 184;261 494;64 968;63 307;77 198;45 571;31 970;283 014;;;;;;;
Vendée;153 551;143 036;170 966;105 940;66 552;640 045;79 150;72 671;85 388;50 890;25 861;313 960;74 401;70 365;85 578;55 050;40 691;326 085;;;;;;;
Vienne;101 446;107 420;113 812;63 054;43 855;429 587;51 095;52 756;55 742;30 343;16 785;206 721;50 351;54 664;58 070;32 711;27 070;222 866;;;;;;;
Haute-Vienne;81 116;87 333;101 463;61 988;45 156;377 056;41 125;42 907;49 784;29 446;17 255;180 517;39 991;44 426;51 679;32 542;27 901;196 539;;;;;;;
